datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,date,time,month,hour,weekday_no
2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,0.0,3,13,16,11010110.,12AM00.,01,00,6
2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,0.0,8,32,40,11010110.,01AM00.,01,01,6
2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,0.0,5,27,32,11010110.,02AM00.,01,02,6
2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,0.0,3,10,13,11010110.,03AM00.,01,03,6
2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,0.0,0,1,1,11010110.,04AM00.,01,04,6
2011-01-01 05:00:00,1,0,0,2,9.84,12.88,75,6.0032,0,1,1,11010110.,05AM00.,01,05,6
2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,0.0,2,0,2,11010110.,06AM00.,01,06,6
2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,0.0,1,2,3,11010110.,07AM00.,01,07,6
2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,0.0,1,7,8,11010110.,08AM00.,01,08,6
2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,0.0,8,6,14,11010110.,09AM00.,01,09,6
2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76,16.9979,12,24,36,11010110.,10AM00.,01,10,6
2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81,19.0012,26,30,56,11010110.,11AM00.,01,11,6
2011-01-01 12:00:00,1,0,0,1,17.22,21.21,77,19.0012,29,55,84,11010110.,12PM00.,01,12,6
2011-01-01 13:00:00,1,0,0,2,18.86,22.725,72,19.9995,47,47,94,11010110.,01PM00.,01,13,6
2011-01-01 14:00:00,1,0,0,2,18.86,22.725,72,19.0012,35,71,106,11010110.,02PM00.,01,14,6
2011-01-01 15:00:00,1,0,0,2,18.04,21.97,77,19.9995,40,70,110,11010110.,03PM00.,01,15,6
2011-01-01 16:00:00,1,0,0,2,17.22,21.21,82,19.9995,41,52,93,11010110.,04PM00.,01,16,6
2011-01-01 17:00:00,1,0,0,2,18.04,21.97,82,19.0012,15,52,67,11010110.,05PM00.,01,17,6
2011-01-01 18:00:00,1,0,0,3,17.22,21.21,88,16.9979,9,26,35,11010110.,06PM00.,01,18,6
2011-01-01 19:00:00,1,0,0,3,17.22,21.21,88,16.9979,6,31,37,11010110.,07PM00.,01,19,6
2011-01-01 20:00:00,1,0,0,2,16.4,20.455,87,16.9979,11,25,36,11010110.,08PM00.,01,20,6
2011-01-01 21:00:00,1,0,0,2,16.4,20.455,87,12.998,3,31,34,11010110.,09PM00.,01,21,6
2011-01-01 22:00:00,1,0,0,2,16.4,20.455,94,15.0013,11,17,28,11010110.,10PM00.,01,22,6
2011-01-01 23:00:00,1,0,0,2,18.86,22.725,88,19.9995,15,24,39,11010110.,11PM00.,01,23,6
2011-01-02 00:00:00,1,0,0,2,18.86,22.725,88,19.9995,4,13,17,11010210.,12AM00.,01,00,7
